2020-02-21 20:40:59,021 |       pack.rivet.run |   INFO | b'Pass MET/sqrtHT          26.0        3%       67%'
2020-02-21 20:40:59,022 |       pack.rivet.run |   INFO | b'Pass m_eff(incl)          6.0        1%       23%'
2020-02-21 20:40:59,022 |       pack.rivet.run |   INFO | b''
2020-02-21 20:40:59,022 |       pack.rivet.run |   INFO | b'2jt cut-flow:'
2020-02-21 20:40:59,023 |       pack.rivet.run |   INFO | b'Count    A_cumu    A_incr'
2020-02-21 20:40:59,023 |       pack.rivet.run |   INFO | b'1000.0      100%        -'
2020-02-21 20:40:59,023 |       pack.rivet.run |   INFO | b'Pass Pre-sel+MET+pT1     67.0        7%        7%'
2020-02-21 20:40:59,024 |       pack.rivet.run |   INFO | b'Pass Njet                67.0        7%      100%'
2020-02-21 20:40:59,024 |       pack.rivet.run |   INFO | b'Pass Dphi_min(j,MET)     55.0        6%       82%'
2020-02-21 20:40:59,024 |       pack.rivet.run |   INFO | b'Pass pT2                  6.0        1%       11%'
2020-02-21 20:40:59,024 |       pack.rivet.run |   INFO | b'Pass MET/sqrtHT           2.0        0%       33%'
2020-02-21 20:40:59,024 |       pack.rivet.run |   INFO | b'Pass m_eff(incl)          1.0        0%       50%'
2020-02-21 20:40:59,025 |       pack.rivet.run |   INFO | b''
2020-02-21 20:40:59,025 |       pack.rivet.run |   INFO | b'4jt cut-flow:'
2020-02-21 20:40:59,025 |       pack.rivet.run |   INFO | b'Count    A_cumu    A_incr'
2020-02-21 20:40:59,025 |       pack.rivet.run |   INFO | b'1000.0      100%        -'
2020-02-21 20:40:59,025 |       pack.rivet.run |   INFO | b'Pass Pre-sel+MET+pT1     67.0        7%        7%'
2020-02-21 20:40:59,026 |       pack.rivet.run |   INFO | b'Pass Njet                 5.0        1%        7%'
2020-02-21 20:40:59,026 |       pack.rivet.run |   INFO | b'Pass Dphi_min(j,MET)      4.0        0%       80%'
2020-02-21 20:40:59,026 |       pack.rivet.run |   INFO | b'Pass pT2                  4.0        0%      100%'
