2020-02-21 20:39:45,074 |    pack.madgraph.run |   INFO | b'Archive:  tmp.tgz'
2020-02-21 20:39:45,075 |    pack.madgraph.run |   INFO | b'creating: DMsimp_s_spin1/'
2020-02-21 20:39:45,075 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/__init__.py'
2020-02-21 20:39:45,075 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/coupling_orders.py'
2020-02-21 20:39:45,076 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/couplings.py'
2020-02-21 20:39:45,076 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/CT_couplings.py'
2020-02-21 20:39:45,078 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/CT_vertices.py'
2020-02-21 20:39:45,078 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/decays.py'
2020-02-21 20:39:45,078 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/DMsimp_s_spin1.log'
2020-02-21 20:39:45,079 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/function_library.py'
2020-02-21 20:39:45,079 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/lorentz.py'
2020-02-21 20:39:45,079 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/object_library.py'
2020-02-21 20:39:45,080 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/parameters.py'
2020-02-21 20:39:45,080 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/particles.py'
2020-02-21 20:39:45,080 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/propagators.py'
2020-02-21 20:39:45,080 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/vertices.py'
2020-02-21 20:39:45,080 |    pack.madgraph.run |   INFO | b'inflating: DMsimp_s_spin1/write_param_card.py'
2020-02-21 20:39:45,120 |    pack.madgraph.run |   INFO | b'INFO: load particles'
2020-02-21 20:39:45,122 |    pack.madgraph.run |   INFO | b'INFO: load vertices'
2020-02-21 20:39:45,219 |    pack.madgraph.run |   INFO | b'Defined multiparticle p = g u c d s u~ c~ d~ s~'
2020-02-21 20:39:45,220 |    pack.madgraph.run |   INFO | b'Defined multiparticle j = g u c d s u~ c~ d~ s~'
2020-02-21 20:39:45,221 |    pack.madgraph.run |   INFO | b'Defined multiparticle l+ = e+ mu+'
2020-02-21 20:39:45,222 |    pack.madgraph.run |   INFO | b'Defined multiparticle l- = e- mu-'
2020-02-21 20:39:45,223 |    pack.madgraph.run |   INFO | b'Defined multiparticle vl = ve vm vt'
2020-02-21 20:39:45,223 |    pack.madgraph.run |   INFO | b'Defined multiparticle vl~ = ve~ vm~ vt~'
2020-02-21 20:39:45,224 |    pack.madgraph.run |   INFO | b"\x1b[1;34mPass the definition of 'j' and 'p' to 5 flavour scheme.\x1b[0m"
2020-02-21 20:39:45,228 |    pack.madgraph.run |   INFO | b'Defined multiparticle all = g ghg ghg~ u c d s b u~ c~ d~ s~ b~ a gha gha~ ve vm vt e- mu- ve~ vm~ vt~ e+ mu+ t t~ z w+ ghz ghwp ghwm h xr xc y1 w- ghz~ ghwp~ ghwm~ xc~ ta- xd ta+ xd~'
2020-02-21 20:39:45,228 |    pack.madgraph.run |   INFO | b'generate p p > xd xd~ j'
2020-02-21 20:39:45,231 |    pack.madgraph.run |   INFO | b'INFO: Checking for minimal orders which gives processes.'
2020-02-21 20:39:45,232 |    pack.madgraph.run |   INFO | b'INFO: Please specify coupling orders to bypass this step.'
